player_name,own_count,captaincy_count,price,points
A.Becker,3,0,55,21
Adingra,1,0,55,11
Alexander-Arnold,5,0,70,20
Amad,2,0,50,10
Andersen,3,0,44,0
Andreas,2,0,55,5
Areola,3,0,45,8
B.Fernandes,9,0,84,7
Barco,12,0,40,0
Benda,1,0,40,0
Bentley,2,0,40,0
Bernardo,1,0,66,15
Burn,2,0,45,6
Colwill,1,0,45,4
Cucurella,1,0,50,4
Dalot,1,0,50,9
Davis,1,0,45,8
De Bruyne,1,0,96,16
Diogo J.,9,0,76,17
Dunk,1,0,45,10
Emerson,1,0,45,7
Eze,7,0,69,14
Fabianski,3,0,40,1
Faes,1,0,41,9
Flekken,2,0,45,10
Foden,2,0,94,1
Fraser,3,0,45,0
Gabriel,4,0,60,14
Garnacho,2,0,64,7
Gibbs-White,4,0,65,13
Gordon,4,0,75,15
Gray,1,0,49,2
Gusto,1,0,50,3
Guéhi,2,0,45,3
Gvardiol,7,1,60,11
Haaland,13,13,152,41
Hall,2,0,45,7
Harwood-Bellis,4,0,40,3
Havertz,2,0,81,22
Henderson,7,0,45,7
Hudson-Odoi,2,0,55,8
Isak,17,1,85,16
Iversen,1,0,40,0
J.Murphy,1,0,54,6
Jebbison,1,0,45,2
Johnson,2,0,40,3
João Pedro,4,0,57,18
Kudus,1,0,64,7
M.Salah,7,5,126,41
Maatsen,1,0,49,3
Martinez,1,0,50,6
Mateta,1,0,74,5
Mavididi,1,0,54,3
Mazraoui,1,0,45,13
Muniz,7,0,61,6
Muñoz,3,0,50,6
Mykolenko,5,0,44,2
N.Jackson,2,0,76,18
Nedeljkovic,1,0,40,3
Nkunku,10,0,63,3
Onana,2,0,50,8
Palmer,4,0,106,25
Pedro Porro,12,0,55,16
Pickford,2,0,49,4
Quansah,2,0,43,1
Raya,4,0,55,20
Ricardo,1,0,44,0
Robinson,6,0,46,13
Rogers,3,0,51,6
Romero,1,0,51,17
Saka,13,0,101,24
Saliba,10,0,60,14
Sangaré,1,0,45,4
Sels,1,0,45,11
Smith Rowe,6,0,56,15
Solanke,2,0,75,2
Son,2,0,100,21
Souček,1,0,50,14
Taylor,3,0,40,1
Toney,1,0,73,0
Trippier,1,0,58,1
Tuanzebe,1,0,40,3
Turner,6,0,40,0
Ui-jo,1,0,45,0
Valdimarsson,2,0,40,0
Virgil,2,0,60,18
Walker,2,0,54,1
Ward,2,0,40,0
Watkins,6,1,89,9
White,2,0,65,14
Winks,3,0,45,5
Wood,3,0,61,19
Yarmoliuk,1,0,45,0
Ødegaard,4,0,84,7
